tickers,volatility,drawdown,beta,market_cap,pe_ratio,dividend_yield,profit_margin,return_on_equity,debt_to_equity
MMM,0.013813496690033737,0.10582235464501295,1.079,80054296576,20.904034,1.94,0.16011,0.9476,316.755
AOS,0.017628016474411347,0.16302024486733394,1.203,10654621696,20.942738,1.91,0.13741,0.27969998,15.945
ABT,0.01956971370933986,0.12332750531065663,0.732,217949749248,15.717691,1.88,0.32426998,0.3116597039292111,27.087
ABBV,0.013888816037805129,0.06507697499812155,0.481,337444241408,81.63889,3.44,0.073130004,0.884,4789.603
ACN,0.01915129986839088,0.13517321512273042,1.293,175339356160,22.413216,2.07,0.11607,0.26928,25.881
ADBE,0.01779475425538124,0.12548347655477135,1.509,157959356416,23.85458,2.294692874692875,0.30392,0.52254003,57.486
AMD,0.02853958358187234,0.28512524010594475,2.045,263469400064,119.48161,2.294692874692875,0.080249995,0.03904,8.174
AES,0.0453803277930878,0.271879488948221,0.941,9731987456,7.4293475,5.05,0.10669,0.05583,361.561
AFL,0.010386479733777137,0.0487804508627462,0.798,55586414592,15.989892,2.25,0.21274,0.14408,42.513
A,0.01959739788819645,0.09768863197464119,1.232,34232672256,29.682266,0.83,0.17592,0.18882999,60.039
APD,0.010682490786966129,0.09843574510877331,0.866,65857445888,42.64121,2.4,0.12755,0.095790006,98.527
ABNB,0.01395803678737632,0.08198231384817478,1.135,87181336576,35.850254,2.294692874692875,0.22596,0.3206,28.726
AKAM,0.012416047307573251,0.04809119036615893,0.775,11482956800,27.07215,2.294692874692875,0.11262,0.09821,100.746
ALB,0.0394110738620874,0.3196445643861177,1.63,9798807552,42.355587151991614,2.06,-0.22391,-0.09992,35.757
ARE,0.01685726345721746,0.160781344171599,1.266,14072530944,42.355587151991614,6.37,-0.00331,0.00784,62.825
ALGN,0.020343051661674202,0.1433880706086151,1.635,14539725824,36.537342,2.294692874692875,0.10288,0.108430006,3.124
ALLE,0.017270860014028187,0.1644537196845455,1.025,13933962240,22.742977,1.32,0.16279,0.42051998,133.636
LNT,0.010081924180539869,0.08716154135128489,0.56,16720058368,22.444826,3.13,0.18269,0.10712,149.852
ALL,0.014570872390554714,0.051512568888533145,0.325,51795750912,13.359972,2.02,0.061929997,0.19723,36.672
